sample,ENSG00000157150.4,ENSG00000139618.14,ENSG00000133687.15,ENSG00000082175.14,ENSG00000012048.19,ENSG00000140009.18,ENSG00000196569.11,ENSG00000091831.21,ENSG00000107485.15,ENSG00000141736.13
TCGA-B6-A0IC-01,-1.1488,1.0363,-1.7322,4.9658,2.6208,-2.9324,-1.6850,8.1961,8.8066,6.7363
TCGA-OL-A66L-01,3.5827,-2.9324,0.8488,1.8801,0.0990,-1.7322,1.3735,4.5211,6.8780,6.2739
TCGA-BH-A0DO-01,0.9862,-0.6643,1.9786,4.1310,1.4962,-2.9324,1.9786,7.8257,7.9423,6.5367
TCGA-E2-A14N-01,0.2154,2.5163,-0.3752,-2.6349,0.6332,-2.4659,0.8961,-2.3147,5.9778,3.6612
TCGA-LL-A73Y-01,-1.4699,0.9038,-0.1345,-2.4659,1.2394,-2.1779,2.6464,-1.1811,1.5854,5.5832
TCGA-GM-A2DF-01,0.4967,-0.7108,-0.2159,-5.0116,0.2029,-2.0529,-0.4921,-1.9942,4.0233,4.5534
TCGA-BH-A0BG-01,-0.4719,1.2696,-0.8863,-4.0350,1.7702,-2.6349,0.6608,-1.3183,3.0791,5.6273
TCGA-A8-A06Z-01,-4.6082,0.3907,-1.3548,2.9109,3.0092,-5.0116,-0.3383,6.9897,6.9304,6.9579
TCGA-AR-A24W-01,2.1574,0.2881,3.1813,4.0584,1.5563,-1.5951,3.9737,6.5785,6.8333,6.0286
TCGA-E9-A1RH-11,7.3447,-0.8863,4.3972,0.4761,0.7832,0.3346,4.5681,3.8471,3.4622,3.7846
TCGA-AN-A0AT-01,-1.6850,3.0654,1.2756,-4.2934,-0.3940,-3.4580,-0.1665,-2.4659,0.8568,4.5349
TCGA-LL-A5YL-01,-0.0425,-0.5973,-0.1828,-0.8599,2.0004,-2.6349,0.4865,4.2795,6.7942,6.9540
TCGA-BH-A201-01,1.7828,1.4388,2.3019,4.6230,2.0076,-2.5479,3.0533,5.6165,7.4091,6.3567
TCGA-GM-A2DL-01,2.4883,-0.0725,0.7916,4.2586,1.4228,-2.8262,1.9895,5.3611,7.0902,5.2130
TCGA-E2-A14U-01,-0.3201,-0.2159,2.8720,4.3456,1.1250,-2.6349,1.0151,6.8018,7.4341,7.4626
TCGA-D8-A1XS-01,-9.9658,1.2815,1.5758,3.7667,3.7815,-4.0350,1.6093,6.5046,7.3413,7.4219
TCGA-AR-A5QM-01,3.3206,0.1388,0.8164,3.9992,1.8604,-1.3183,2.4934,6.6278,7.7964,6.2171
TCGA-A1-A0SB-01,-0.9406,1.7575,2.9090,-3.3076,2.3366,-3.3076,1.2756,2.6533,3.4997,6.2705
TCGA-BH-A0DP-11,3.5584,0.3907,3.7940,3.0740,1.1641,-2.2447,3.6939,6.1363,6.6447,7.4100
TCGA-EW-A1P5-01,1.9675,1.6374,-0.0130,5.7074,2.9281,-3.3076,0.4447,7.7967,8.1230,5.8822
TCGA-BH-A1FN-01,1.9601,0.1776,2.0535,1.7702,2.8482,-3.0469,0.3685,4.9093,7.8135,4.6583
TCGA-E9-A3X8-01,2.6161,-2.3884,-0.3022,3.2374,0.4016,-2.7274,1.3679,4.2743,6.9341,5.5348
TCGA-A7-A13E-11,7.3486,-1.3548,4.6988,2.7530,1.0222,-1.0862,4.0233,4.9709,4.9519,4.8846
TCGA-A1-A0SJ-01,2.6138,1.3225,2.3788,3.6669,1.8801,-2.3147,2.9013,5.0960,7.5206,6.6948
TCGA-BH-A18I-01,-0.3940,1.7403,2.5876,2.2144,2.1957,-1.8836,3.0688,5.7274,7.8526,5.9465
TCGA-BH-A0H9-11,7.9463,-2.3884,4.0918,-1.5522,0.4016,-0.8339,3.0498,1.8119,1.7532,2.8779
TCGA-AN-A0FY-01,-0.7346,0.4552,2.1606,5.5943,2.1702,-2.2447,0.9191,6.4890,8.0551,5.5714
TCGA-A8-A09E-01,0.7146,1.6695,-0.1993,4.2173,3.3192,-4.0350,0.2762,7.3830,8.0870,7.4548
TCGA-D8-A27V-01,0.0718,-0.3752,2.7249,1.9490,1.1577,-3.3076,4.3702,7.1961,6.9477,5.9871
TCGA-AO-A03U-01,3.2796,-0.2845,0.3907,-2.3147,1.0363,-3.0469,1.6140,0.1519,4.7055,5.3625
TCGA-B6-A400-01,-3.6259,0.4233,2.0430,-2.3147,2.1988,-3.6259,1.4704,-2.6349,2.8096,5.6927
TCGA-E2-A14Y-01,-5.0116,0.9268,2.5900,-3.8160,1.7360,-3.6259,-1.8314,0.3907,3.6077,10.1299
TCGA-E2-A1LS-11,6.6165,-2.3884,4.6306,-0.0877,0.8164,1.8323,3.7269,2.3135,1.1184,2.2990
TCGA-A8-A06Y-01,-2.9324,0.1388,-0.7346,-1.0559,1.3511,-3.6259,-0.5543,8.1369,8.5823,6.7458
TCGA-AN-A041-01,-2.2447,1.5366,0.2154,-2.3884,3.1701,-3.0469,2.4831,5.7664,7.6034,7.7983
TCGA-B6-A409-01,-0.8863,-1.0862,-0.1345,-1.6394,1.2147,-1.6850,0.1648,0.0580,3.7280,5.5432
TCGA-E9-A1R2-01,4.2646,-0.8084,1.7229,-2.9324,2.8779,-2.7274,2.6185,6.3621,8.4741,7.3516
TCGA-BH-A0C3-11,1.8036,-0.4521,3.0825,3.8915,1.3340,-2.0529,3.1458,4.2616,5.8890,6.0603
TCGA-A7-A0CJ-01,-3.4580,0.6425,1.8444,5.5817,1.8722,-3.3076,-0.2328,7.4366,8.4190,5.4922
TCGA-3C-AALI-01,-0.9406,1.4120,-0.8599,-3.4580,2.4831,-0.9686,-0.5543,-0.7108,7.0655,11.1675
TCGA-A2-A4S2-01,1.0711,0.5470,0.3231,4.2064,1.7532,-2.7274,1.9895,5.5766,8.3967,6.6423
